年月日,営業日フラグ,備考
2023-01-01,FALSE,元日
2023-01-02,FALSE,振替休日
2023-01-03,TRUE,
2023-01-04,TRUE,
2023-01-05,TRUE,
2023-01-06,TRUE,
2023-01-07,FALSE,
2023-01-08,FALSE,
2023-01-09,FALSE,成人の日
2023-01-10,TRUE,
2023-01-11,TRUE,
2023-01-12,TRUE,
2023-01-13,TRUE,
2023-01-14,FALSE,
2023-01-15,FALSE,
2023-01-16,TRUE,
2023-01-17,TRUE,
2023-01-18,TRUE,
2023-01-19,TRUE,
2023-01-20,TRUE,
2023-01-21,FALSE,
2023-01-22,FALSE,
2023-01-23,TRUE,
2023-01-24,TRUE,
2023-01-25,TRUE,
2023-01-26,TRUE,
2023-01-27,TRUE,
2023-01-28,FALSE,
2023-01-29,FALSE,
2023-01-30,TRUE,
2023-01-31,TRUE,
2023-02-01,TRUE,
2023-02-02,TRUE,
2023-02-03,TRUE,
2023-02-04,FALSE,
2023-02-05,FALSE,
2023-02-06,TRUE,
2023-02-07,TRUE,
2023-02-08,TRUE,
2023-02-09,TRUE,
2023-02-10,TRUE,
2023-02-11,FALSE,建国記念の日
2023-02-12,FALSE,
2023-02-13,TRUE,
2023-02-14,TRUE,
2023-02-15,TRUE,
2023-02-16,TRUE,
2023-02-17,TRUE,
2023-02-18,FALSE,
2023-02-19,FALSE,
2023-02-20,TRUE,
2023-02-21,TRUE,
2023-02-22,TRUE,
2023-02-23,FALSE,天皇誕生日
2023-02-24,TRUE,
2023-02-25,FALSE,
2023-02-26,FALSE,
2023-02-27,TRUE,
2023-02-28,TRUE,
2023-03-01,TRUE,
2023-03-02,TRUE,
2023-03-03,TRUE,
2023-03-04,FALSE,
2023-03-05,FALSE,
2023-03-06,TRUE,
2023-03-07,TRUE,
2023-03-08,TRUE,
2023-03-09,TRUE,
2023-03-10,TRUE,
2023-03-11,FALSE,
2023-03-12,FALSE,
2023-03-13,TRUE,
2023-03-14,TRUE,
2023-03-15,TRUE,
2023-03-16,TRUE,
2023-03-17,TRUE,
2023-03-18,FALSE,
2023-03-19,FALSE,
2023-03-20,FALSE,春分の日
2023-03-21,TRUE,
2023-03-22,TRUE,
2023-03-23,TRUE,
2023-03-24,TRUE,
2023-03-25,FALSE,
2023-03-26,FALSE,
2023-03-27,TRUE,
2023-03-28,TRUE,
2023-03-29,TRUE,
2023-03-30,TRUE,
2023-03-31,TRUE,
2023-04-01,FALSE,
2023-04-02,FALSE,
2023-04-03,TRUE,
2023-04-04,TRUE,
2023-04-05,TRUE,
2023-04-06,TRUE,
2023-04-07,TRUE,
2023-04-08,FALSE,
2023-04-09,FALSE,
2023-04-10,TRUE,
2023-04-11,TRUE,
2023-04-12,TRUE,
2023-04-13,TRUE,
2023-04-14,TRUE,
2023-04-15,FALSE,
2023-04-16,FALSE,
2023-04-17,TRUE,
2023-04-18,TRUE,
2023-04-19,TRUE,
2023-04-20,TRUE,
2023-04-21,TRUE,
2023-04-22,FALSE,
2023-04-23,FALSE,
2023-04-24,TRUE,
2023-04-25,TRUE,
2023-04-26,TRUE,
2023-04-27,TRUE,
2023-04-28,TRUE,
2023-04-29,FALSE,昭和の日
2023-04-30,FALSE,
2023-05-01,TRUE,
2023-05-02,TRUE,
2023-05-03,FALSE,憲法記念日
2023-05-04,FALSE,みどりの日
2023-05-05,FALSE,こどもの日
2023-05-06,FALSE,
2023-05-07,FALSE,
2023-05-08,TRUE,
2023-05-09,TRUE,
2023-05-10,TRUE,
2023-05-11,TRUE,
2023-05-12,TRUE,
2023-05-13,FALSE,
2023-05-14,FALSE,
2023-05-15,TRUE,
2023-05-16,TRUE,
2023-05-17,TRUE,
2023-05-18,TRUE,
2023-05-19,TRUE,
2023-05-20,FALSE,
2023-05-21,FALSE,
2023-05-22,TRUE,
2023-05-23,TRUE,
2023-05-24,TRUE,
2023-05-25,TRUE,
2023-05-26,TRUE,
2023-05-27,FALSE,
2023-05-28,FALSE,
2023-05-29,TRUE,
2023-05-30,TRUE,
2023-05-31,TRUE,
2023-06-01,TRUE,
2023-06-02,TRUE,
2023-06-03,FALSE,
2023-06-04,FALSE,
2023-06-05,TRUE,
2023-06-06,TRUE,
2023-06-07,TRUE,
2023-06-08,TRUE,
2023-06-09,TRUE,
2023-06-10,FALSE,
2023-06-11,FALSE,
2023-06-12,TRUE,
2023-06-13,TRUE,
2023-06-14,TRUE,
2023-06-15,TRUE,
2023-06-16,TRUE,
2023-06-17,FALSE,
2023-06-18,FALSE,
2023-06-19,TRUE,
2023-06-20,TRUE,
2023-06-21,TRUE,
2023-06-22,TRUE,
2023-06-23,TRUE,
2023-06-24,FALSE,
2023-06-25,FALSE,
2023-06-26,TRUE,
2023-06-27,TRUE,
2023-06-28,TRUE,
2023-06-29,TRUE,
2023-06-30,TRUE,
2023-07-01,FALSE,
2023-07-02,FALSE,
2023-07-03,TRUE,
2023-07-04,TRUE,
2023-07-05,TRUE,
2023-07-06,TRUE,
2023-07-07,TRUE,
2023-07-08,FALSE,
2023-07-09,FALSE,
2023-07-10,TRUE,
2023-07-11,TRUE,
2023-07-12,TRUE,
2023-07-13,TRUE,
2023-07-14,TRUE,
2023-07-15,FALSE,
2023-07-16,FALSE,
2023-07-17,FALSE,海の日
2023-07-18,TRUE,
2023-07-19,TRUE,
2023-07-20,TRUE,
2023-07-21,TRUE,
2023-07-22,FALSE,
2023-07-23,FALSE,
2023-07-24,TRUE,
2023-07-25,TRUE,
2023-07-26,TRUE,
2023-07-27,TRUE,
2023-07-28,TRUE,
2023-07-29,FALSE,
2023-07-30,FALSE,
2023-07-31,TRUE,
2023-08-01,TRUE,
2023-08-02,TRUE,
2023-08-03,TRUE,
2023-08-04,TRUE,
2023-08-05,FALSE,
2023-08-06,FALSE,
2023-08-07,TRUE,
2023-08-08,TRUE,
2023-08-09,TRUE,
2023-08-10,TRUE,
2023-08-11,FALSE,山の日
2023-08-12,FALSE,
2023-08-13,FALSE,
2023-08-14,TRUE,
2023-08-15,TRUE,
2023-08-16,TRUE,
2023-08-17,TRUE,
2023-08-18,TRUE,
2023-08-19,FALSE,
2023-08-20,FALSE,
2023-08-21,TRUE,
2023-08-22,TRUE,
2023-08-23,TRUE,
2023-08-24,TRUE,
2023-08-25,TRUE,
2023-08-26,FALSE,
2023-08-27,FALSE,
2023-08-28,TRUE,
2023-08-29,TRUE,
