テストID,テスト内容,入力データ,テスト対象業務ID,期待結果,判定基準
201_2024_11_05_A,平日の業務ID201テスト,2024-11-05,201,対象,毎日業務（振替しない）は平日に実行される
202_2024_11_05_A,平日の業務ID202テスト,2024-11-05,202,対象,毎日業務（直前営業日）は平日に実行される
203_2024_11_05_A,平日の業務ID203テスト,2024-11-05,203,対象,毎日業務（直後営業日）は平日に実行される
201_2024_11_09_A,土曜日の業務ID201テスト,2024-11-09,201,対象,毎日業務（振替しない）は土曜日も実行される
202_2024_11_09_A,土曜日の業務ID202テスト,2024-11-09,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の11/8に振替
203_2024_11_09_A,土曜日の業務ID203テスト,2024-11-09,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の11/10に振替
201_2024_11_03_A,祝日の業務ID201テスト,2024-11-03,201,対象,毎日業務（振替しない）は祝日も実行される
202_2024_11_03_A,祝日の業務ID202テスト,2024-11-03,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の11/1に振替
203_2024_11_03_A,祝日の業務ID203テスト,2024-11-03,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の11/4に振替
2xx_2024_11_08_A,営業日フラグFALSEの業務ID201テスト,2024-11-08,201,対象,毎日業務（振替しない）は非営業日も実行される
2xx_2024_11_08_B,営業日フラグFALSEの業務ID202テスト,2024-11-08,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の11/7に振替
2xx_2024_11_08_C,営業日フラグFALSEの業務ID203テスト,2024-11-08,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の11/10に振替
2xx_2024_12_31_A,年末（非営業日）の業務ID201テスト,2024-12-31,201,対象,毎日業務（振替しない）は非営業日も実行される
2xx_2024_12_31_B,年末（非営業日）の業務ID202テスト,2024-12-31,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の12/30に振替
2xx_2024_12_31_C,年末（非営業日）の業務ID203テスト,2024-12-31,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の1/6に振替
2xx_2025_01_01_A,元日の業務ID201テスト,2025-01-01,201,対象,毎日業務（振替しない）は祝日も実行される
2xx_2025_01_01_B,元日の業務ID202テスト,2025-01-01,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の12/30に振替
2xx_2025_01_01_C,元日の業務ID203テスト,2025-01-01,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の1/6に振替
2xx_2025_01_07_A,直前営業日振替確認テスト,2025-01-07,202,対象,毎日業務（直前営業日）は平日は振替せず実行される
2xx_2025_01_07_B,直後営業日振替確認テスト,2025-01-07,203,対象,毎日業務（直後営業日）は平日は振替せず実行される
2xx_2025_02_23_A,天皇誕生日の業務ID201テスト,2025-02-23,201,対象,毎日業務（振替しない）は祝日も実行される
2xx_2025_02_23_B,天皇誕生日の業務ID202テスト,2025-02-23,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の2/21に振替
2xx_2025_02_23_C,天皇誕生日の業務ID203テスト,2025-02-23,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の2/25に振替
2xx_2025_02_24_A,振替休日の業務ID201テスト,2025-02-24,201,対象,毎日業務（振替しない）は振替休日も実行される
2xx_2025_02_24_B,振替休日の業務ID202テスト,2025-02-24,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の2/21に振替
2xx_2025_02_24_C,振替休日の業務ID203テスト,2025-02-24,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の2/25に振替
2xx_2025_03_20_A,春分の日の業務ID201テスト,2025-03-20,201,対象,毎日業務（振替しない）は祝日も実行される
2xx_2025_03_20_B,春分の日の業務ID202テスト,2025-03-20,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の3/19に振替
2xx_2025_03_20_C,春分の日の業務ID203テスト,2025-03-20,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の3/21に振替
2xx_2025_04_29_A,昭和の日の業務ID201テスト,2025-04-29,201,対象,毎日業務（振替しない）は祝日も実行される
2xx_2025_04_29_B,昭和の日の業務ID202テスト,2025-04-29,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の4/28に振替
2xx_2025_04_29_C,昭和の日の業務ID203テスト,2025-04-29,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の4/30に振替
2xx_2025_05_03_A,憲法記念日の業務ID201テスト,2025-05-03,201,対象,毎日業務（振替しない）は祝日も実行される
2xx_2025_05_03_B,憲法記念日の業務ID202テスト,2025-05-03,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の5/2に振替
2xx_2025_05_03_C,憲法記念日の業務ID203テスト,2025-05-03,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の5/7に振替
2xx_2025_05_04_A,みどりの日の業務ID201テスト,2025-05-04,201,対象,毎日業務（振替しない）は祝日も実行される
2xx_2025_05_04_B,みどりの日の業務ID202テスト,2025-05-04,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の5/2に振替
2xx_2025_05_04_C,みどりの日の業務ID203テスト,2025-05-04,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の5/7に振替
2xx_2025_05_05_A,こどもの日の業務ID201テスト,2025-05-05,201,対象,毎日業務（振替しない）は祝日も実行される
2xx_2025_05_05_B,こどもの日の業務ID202テスト,2025-05-05,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の5/2に振替
2xx_2025_05_05_C,こどもの日の業務ID203テスト,2025-05-05,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の5/7に振替
2xx_2025_05_06_A,振替休日の業務ID201テスト,2025-05-06,201,対象,毎日業務（振替しない）は振替休日も実行される
2xx_2025_05_06_B,振替休日の業務ID202テスト,2025-05-06,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の5/2に振替
2xx_2025_05_06_C,振替休日の業務ID203テスト,2025-05-06,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の5/7に振替
2xx_2025_05_07_A,GW明け営業日の業務ID201テスト,2025-05-07,201,対象,毎日業務（振替しない）は平日に実行される
2xx_2025_05_07_B,GW明け営業日の業務ID202テスト,2025-05-07,202,対象,毎日業務（直前営業日）は平日に実行される
2xx_2025_05_07_C,GW明け営業日の業務ID203テスト,2025-05-07,203,対象,毎日業務（直後営業日）は平日に実行される
2xx_2025_11_03_A,文化の日の業務ID201テスト,2025-11-03,201,対象,毎日業務（振替しない）は祝日も実行される
2xx_2025_11_03_B,文化の日の業務ID202テスト,2025-11-03,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の10/31に振替
2xx_2025_11_03_C,文化の日の業務ID203テスト,2025-11-03,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の11/4に振替
2xx_2025_11_23_A,勤労感謝の日の業務ID201テスト,2025-11-23,201,対象,毎日業務（振替しない）は祝日も実行される
2xx_2025_11_23_B,勤労感謝の日の業務ID202テスト,2025-11-23,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の11/21に振替
2xx_2025_11_23_C,勤労感謝の日の業務ID203テスト,2025-11-23,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の11/25に振替
2xx_2025_11_24_A,振替休日の業務ID201テスト,2025-11-24,201,対象,毎日業務（振替しない）は振替休日も実行される
2xx_2025_11_24_B,振替休日の業務ID202テスト,2025-11-24,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の11/21に振替
2xx_2025_11_24_C,振替休日の業務ID203テスト,2025-11-24,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の11/25に振替
2xx_2025_12_23_A,天皇誕生日の業務ID201テスト,2025-12-23,201,対象,毎日業務（振替しない）は平日に実行される
2xx_2025_12_23_B,天皇誕生日の業務ID202テスト,2025-12-23,202,対象,毎日業務（直前営業日）は平日に実行される
2xx_2025_12_23_C,天皇誕生日の業務ID203テスト,2025-12-23,203,対象,毎日業務（直後営業日）は平日に実行される
2xx_2025_12_29_A,年末営業日の業務ID201テスト,2025-12-29,201,対象,毎日業務（振替しない）は平日に実行される
2xx_2025_12_29_B,年末営業日の業務ID202テスト,2025-12-29,202,対象,毎日業務（直前営業日）は平日に実行される
2xx_2025_12_29_C,年末営業日の業務ID203テスト,2025-12-29,203,対象,毎日業務（直後営業日）は平日に実行される
2xx_2025_12_31_A,大晦日の業務ID201テスト,2025-12-31,201,対象,毎日業務（振替しない）は非営業日も実行される
2xx_2025_12_31_B,大晦日の業務ID202テスト,2025-12-31,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の12/30に振替
2xx_2025_12_31_C,大晦日の業務ID203テスト,2025-12-31,203,非対象,毎日業務（直後営業日）は非営業日のため直後営業日の翌年に振替
2xx_2025_01_02_A,年始休業日の業務ID201テスト,2025-01-02,201,対象,毎日業務（振替しない）は非営業日も実行される
2xx_2025_01_02_B,年始休業日の業務ID202テスト,2025-01-02,202,非対象,毎日業務（直前営業日）は非営業日のため直前営業日の12/30に振替
